"","instance_id","link","text","Fail to detect ambiguities/contradictions","Proceed with incorrect assumptions","Fail to elicit clarification","Tendency to overachieve","Underperform by waiting on instructions","Withholding relevant information","Derailing from task objectives","Waiting on agents to discover known insights for increased confidence","Redundant conversation turns for iterative tasks rather than batching","Unaware of stopping conditions","Difficulty in agreeing with agents","No attempt to verify outcome","Evaluator agent fails to be critical","Poor adherence to specified constraints","Misalignment between internal thoughts and response message","Claiming that a task is done while it is not true.","Ignoring good suggestions from other agent","Discontinued reasoning","Trajectory restart","Step repetition","Invented content","Blurring roles"
"0","305925e4-8c67-5460-abdb-b143cf45a9fd","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/305925e4-8c67-5460-abdb-b143cf45a9fd_human.json","The agente invented a missing number. ","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no"
"1","bb32247c-aef8-5366-8d9c-1ac7e032b48f","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/bb32247c-aef8-5366-8d9c-1ac7e032b48f_human.json","The answer was correct. ","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"2","02da9c1f-7c36-5739-b723-33a7d4f8e7e7","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/02da9c1f-7c36-5739-b723-33a7d4f8e7e7_human.json","The solution is correct. The mathproxyagent keeps asking to continue even if it was clear that the problem was unsolvable. ","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no"
"3","c6f0169a-6b0f-5a3f-a3bb-a9435480d9a7","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/c6f0169a-6b0f-5a3f-a3bb-a9435480d9a7_human.json","The answer was correct. ","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"4","a536a498-8195-51c7-8f84-9fd235b62490","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/a536a498-8195-51c7-8f84-9fd235b62490_human.json","The answer was given the the question. The agents solved another problem. ","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no"
"5","2e7a0791-92af-5e3c-b186-145c42105766","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/2e7a0791-92af-5e3c-b186-145c42105766_human.json","Wrong step in the reasoning. No verification. ","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no"
"6","a5714da3-9107-5a28-a6df-bb97dcf4e29a","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/a5714da3-9107-5a28-a6df-bb97dcf4e29a_human.json","Confused the number of fish with the cost of them. ","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no"
"7","ac636464-515f-5ffc-b284-a9f738e74a2c","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/ac636464-515f-5ffc-b284-a9f738e74a2c_human.json","Correct answer. ","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"8","7a11cca5-aa2e-5f44-8ff9-35f3bbd0946e","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/7a11cca5-aa2e-5f44-8ff9-35f3bbd0946e_human.json","mathproxyagent computed the difference with respect to the sum of previous two days. ","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no"
"9","58be8739-d76d-579a-8ceb-ffc2f3064f18","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/58be8739-d76d-579a-8ceb-ffc2f3064f18_human.json","The question was ambigous because it doesn't state that the only remining activity is sightseeing.","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
